Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Earring design (product.metafields.shopify.earring-design),Fabric (product.metafields.shopify.fabric),Intimate apparel features (product.metafields.shopify.intimate-apparel-features),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Neckline (product.metafields.shopify.neckline),One-piece style (product.metafields.shopify.one-piece-style),Ring design (product.metafields.shopify.ring-design),Scarf/Shawl style (product.metafields.shopify.scarf-shawl-style),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
kora-cotton-designer-gown-with-multi-thread-embroidery,Kora Cotton Designer Gown with Multi Thread Embroidery,"<p><span style=""color: rgb(255, 0, 255);""><strong>Navratri Collections</strong></span><br></p>
<p>Fabrics &amp; Work :- Kora Cotton with Multi Thread Embroidered &amp; Gota patti Work<br>Size :- L Size (40"") Stitched (User can adjust From 38"" to 44"" for your body comfort)<br>Sleeves :-  Full Sleeves <br>Length :- 56 Inch<br>Flair :- 12 Meter<br>Lining (Inner) :- Cotton (full upto bottom)</p>",Nirchal,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Womens Gown,"",true,Color,off-white,product.metafields.shopify.color-pattern,,,,,,,,1200.0,shopify,5,deny,manual,1750.00,,true,true,"",https://cdn.shopify.com/s/files/1/0579/1829/2053/files/IMG-20250712-WA0012.jpg?v=1752307724,1,"",false,,,,,,,,,,,,,,,,,,off-white,,,,cotton,,,,,,,,,l,,,female,,https://cdn.shopify.com/s/files/1/0579/1829/2053/files/IMG-20250712-WA0012.jpg?v=1752307724,kg,,1250.00,active
kora-cotton-designer-gown-with-multi-thread-embroidery,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/1829/2053/files/IMG-20250712-WA0005.jpg?v=1752307724,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kora-cotton-designer-gown-with-multi-thread-embroidery,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/1829/2053/files/IMG-20250712-WA0006.jpg?v=1752307724,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kora-cotton-designer-gown-with-multi-thread-embroidery,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/1829/2053/files/IMG-20250712-WA0007.jpg?v=1752307724,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kora-cotton-designer-gown-with-multi-thread-embroidery,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/1829/2053/files/IMG-20250712-WA0008.jpg?v=1752307724,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kora-cotton-designer-gown-with-multi-thread-embroidery,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/1829/2053/files/IMG-20250712-WA0009.jpg?v=1752307724,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kora-cotton-designer-gown-with-multi-thread-embroidery,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/1829/2053/files/IMG-20250712-WA0010.jpg?v=1752307724,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kora-cotton-designer-gown-with-multi-thread-embroidery,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/1829/2053/files/IMG-20250712-WA0011.jpg?v=1752307724,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kora-cotton-designer-gown-with-multi-thread-embroidery,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/1829/2053/files/IMG-20250712-WA0013.jpg?v=1752307724,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft-linen-saree-with-beautiful-embroidery,Soft Linen Saree with Beautiful Embroidery,"<p>Soft linen by line saree with beautiful pencil stitch embroidery </p>
<p>Very rich embroidery pallu and piping border.</p>
<p>Blouse- perfectly matched phantom silk heavy embroidery. </p>
<p>Saree- 5.5 meters <br>Blouse- 1 meter <br></p>",Nirchal,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,Womens Sarees,"",true,Color,off-white,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,5,deny,manual,1900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0579/1829/2053/files/IMG-20250711-WA0073.jpg?v=1752228888,1,"",false,,,,,,,,,,,,,,,,,,off-white; lemon,,,,linen,,,,,,,,,,,,female,,https://cdn.shopify.com/s/files/1/0579/1829/2053/files/IMG-20250711-WA0073.jpg?v=1752228888,kg,,1400.00,active
